title,Token,tag,stopwordByTag,stemmed,lemma,label
ngatiyana terjun langsung menemui warga menampung aspirasi masyarakat,"['ngatiyana', 'terjun', 'langsung', 'menemui', 'warga', 'menampung', 'aspirasi', 'masyarakat']","[('ngatiyana', 'SC'), ('terjun', 'VB'), ('langsung', 'RB'), ('menemui', 'VB'), ('warga', 'NN'), ('menampung', 'VB'), ('aspirasi', 'NN'), ('masyarakat', 'NN')]",ngatiyana terjun langsung menemui warga menampung aspirasi masyarakat,ngatiyana terjun langsung temu warga tampung aspirasi masyarakat,ngatiyana terjun langsung menemui warga menampung aspirasi masyarakat,1
manusia diterkam beruang,"['manusia', 'diterkam', 'beruang']","[('manusia', 'NN'), ('diterkam', 'NN'), ('beruang', 'NN')]",manusia diterkam beruang,manusia terkam beruang,manusia diterkam beruang,0
puluhan rumah di perum griya zavira cilawu terancam terbawa longsor warga minta pemkab segera bertindak,"['puluhan', 'rumah', 'di', 'perum', 'griya', 'zavira', 'cilawu', 'terancam', 'terbawa', 'longsor', 'warga', 'minta', 'pemkab', 'segera', 'bertindak']","[('puluhan', 'CD'), ('rumah', 'NN'), ('di', 'IN'), ('perum', 'NN'), ('griya', 'NN'), ('zavira', 'NN'), ('cilawu', 'NN'), ('terancam', 'VB'), ('terbawa', 'VB'), ('longsor', 'NN'), ('warga', 'NN'), ('minta', 'VB'), ('pemkab', 'NN'), ('segera', 'RB'), ('bertindak', 'VB')]",puluhan rumah  perum griya zavira cilawu terancam terbawa longsor warga  pemkab segera bertindak,puluh rumah perum griya zavira cilawu ancam bawa longsor warga pemkab segera tindak,puluhan rumah perum griya zavira cilawu terancam terbawa longsor warga pemkab segera bertindak,2
prakiraan cuaca kota-kota besar di indonesia untuk senin 25 juli 2022,"['prakiraan', 'cuaca', 'kota', '-', 'kota', 'besar', 'di', 'indonesia', 'untuk', 'senin', '25', 'juli', '2022']","[('prakiraan', 'NN'), ('cuaca', 'NN'), ('kota', 'NN'), ('-', 'Z'), ('kota', 'NN'), ('besar', 'JJ'), ('di', 'IN'), ('indonesia', 'NN'), ('untuk', 'SC'), ('senin', 'VB'), ('25', 'CD'), ('juli', 'VB'), ('2022', 'CD')]",prakiraan cuaca kota - kota   indonesia  senin 25 juli 2022,prakira cuaca kota - kota indonesia senin 25 juli 2022,prakiraan cuaca kota - kota indonesia senin 25 juli 2022,0
kurang dari 24 jam pelaku pembunuh remaja diciduk saat coba melarikan diri,"['kurang', 'dari', '24', 'jam', 'pelaku', 'pembunuh', 'remaja', 'diciduk', 'saat', 'coba', 'melarikan', 'diri']","[('kurang', 'RB'), ('dari', 'IN'), ('24', 'CD'), ('jam', 'NN'), ('pelaku', 'NN'), ('pembunuh', 'VB'), ('remaja', 'NN'), ('diciduk', 'NN'), ('saat', 'NN'), ('coba', 'VB'), ('melarikan', 'VB'), ('diri', 'NN')]",kurang  24 jam pelaku pembunuh remaja diciduk saat coba melarikan diri,kurang 24 jam laku bunuh remaja ciduk saat coba lari diri,kurang 24 jam pelaku pembunuh remaja diciduk saat coba melarikan diri,2
bawaslu kbb butuh anggaran rp23 miliar untuk pilkada serentak 2024,"['bawaslu', 'kbb', 'butuh', 'anggaran', 'rp23', 'miliar', 'untuk', 'pilkada', 'serentak', '2024']","[('bawaslu', 'NN'), ('kbb', 'NN'), ('butuh', 'VB'), ('anggaran', 'NN'), ('rp23', 'CD'), ('miliar', 'CD'), ('untuk', 'SC'), ('pilkada', 'IN'), ('serentak', 'NN'), ('2024', 'CD')]",bawaslu kbb butuh anggaran rp23 miliar  pilkada serentak 2024,bawaslu kbb butuh anggar rp23 miliar pilkada serentak 2024,bawaslu kbb butuh anggaran rp23 miliar pilkada serentak 2024,0
lansia menjadi kelompok paling rentan selama pandemi covid-19,"['lansia', 'menjadi', 'kelompok', 'paling', 'rentan', 'selama', 'pandemi', 'covid', '-', '19']","[('lansia', 'PRP'), ('menjadi', 'VB'), ('kelompok', 'NN'), ('paling', 'RB'), ('rentan', 'JJ'), ('selama', 'IN'), ('pandemi', 'NN'), ('covid', 'NN'), ('-', 'Z'), ('19', 'CD')]",lansia  kelompok paling rentan  pandemi covid - 19,lansia kelompok paling rentan pandemi covid - 19,lansia kelompok paling rentan pandemi covid - 19,0
terdakwa kasus kebakaran bengkel di tangerang divonis 8 tahun bui ph keputusan hakim bijak,"['terdakwa', 'kasus', 'kebakaran', 'bengkel', 'di', 'tangerang', 'divonis', '8', 'tahun', 'bui', 'ph', 'keputusan', 'hakim', 'bijak']","[('terdakwa', 'NN'), ('kasus', 'NN'), ('kebakaran', 'NN'), ('bengkel', 'NN'), ('di', 'IN'), ('tangerang', 'NN'), ('divonis', 'NN'), ('8', 'CD'), ('tahun', 'NN'), ('bui', 'VB'), ('ph', 'NN'), ('keputusan', 'NN'), ('hakim', 'NN'), ('bijak', 'JJ')]",terdakwa kasus kebakaran bengkel  tangerang divonis 8 tahun bui ph keputusan hakim bijak,dakwa kasus bakar bengkel tangerang vonis 8 tahun bui ph putus hakim bijak,terdakwa kasus kebakaran bengkel tangerang divonis 8 tahun bui ph keputusan hakim bijak,0
odong-odong terpental 10 meter dihantam kereta api 9 orang meninggal,"['odong', '-', 'odong', 'terpental', '10', 'meter', 'dihantam', 'kereta', 'api', '9', 'orang', 'meninggal']","[('odong', 'VB'), ('-', 'Z'), ('odong', 'VB'), ('terpental', 'NN'), ('10', 'CD'), ('meter', 'NND'), ('dihantam', 'NN'), ('kereta', 'NN'), ('api', 'NN'), ('9', 'CD'), ('orang', 'NN'), ('meninggal', 'VB')]",odong - odong terpental 10 meter dihantam kereta api 9 orang meninggal,odong - odong pental 10 meter hantam kereta api 9 orang tinggal,odong - odong terpental 10 meter dihantam kereta api 9 orang meninggal,2
cinta setelah cinta 26 juli 2022 tayang di sctv pukul 1930 wib niko dan ayu kepergok tio dan gurunya,"['cinta', 'setelah', 'cinta', '26', 'juli', '2022', 'tayang', 'di', 'sctv', 'pukul', '1930', 'wib', 'niko', 'dan', 'ayu', 'kepergok', 'tio', 'dan', 'gurunya']","[('cinta', 'VB'), ('setelah', 'SC'), ('cinta', 'VB'), ('26', 'CD'), ('juli', 'VB'), ('2022', 'CD'), ('tayang', 'NN'), ('di', 'IN'), ('sctv', 'NN'), ('pukul', 'NN'), ('1930', 'CD'), ('wib', 'NN'), ('niko', 'NN'), ('dan', 'CC'), ('ayu', 'NN'), ('kepergok', 'VB'), ('tio', 'NN'), ('dan', 'CC'), ('gurunya', 'RB')]",cinta  cinta 26 juli 2022 tayang  sctv pukul 1930 wib niko  ayu kepergok tio  gurunya,cinta cinta 26 juli 2022 tayang sctv pukul 1930 wib niko ayu pergok tio guru,cinta cinta 26 juli 2022 tayang sctv pukul 1930 wib niko ayu kepergok tio gurunya,0
sekali panen petani tomat di lembang mampu meraup pendapatan rp1 miliar,"['sekali', 'panen', 'petani', 'tomat', 'di', 'lembang', 'mampu', 'meraup', 'pendapatan', 'rp1', 'miliar']","[('sekali', 'RB'), ('panen', 'NN'), ('petani', 'NN'), ('tomat', 'NN'), ('di', 'IN'), ('lembang', 'NN'), ('mampu', 'JJ'), ('meraup', 'VB'), ('pendapatan', 'NN'), ('rp1', 'CD'), ('miliar', 'CD')]",sekali panen petani tomat  lembang  meraup pendapatan rp1 miliar,sekali panen tani tomat lembang raup dapat rp1 miliar,sekali panen petani tomat lembang meraup pendapatan rp1 miliar,1
bacaan niat puasa senin-kamis berikut doa berbuka dan keutamaannya,"['bacaan', 'niat', 'puasa', 'senin', '-', 'kamis', 'berikut', 'doa', 'berbuka', 'dan', 'keutamaannya']","[('bacaan', 'NN'), ('niat', 'NN'), ('puasa', 'NN'), ('senin', 'NNP'), ('-', 'Z'), ('kamis', 'NN'), ('berikut', 'PR'), ('doa', 'VB'), ('berbuka', 'NN'), ('dan', 'CC'), ('keutamaannya', 'RB')]",bacaan niat puasa senin - kamis  doa berbuka  keutamaannya,baca niat puasa senin - kamis doa buka utama,bacaan niat puasa senin - kami doa berbuka keutamaannya,0
link live streaming persikabo vs persebaya surabaya segera kick off langsung klik di sini,"['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'segera', 'kick', 'off', 'langsung', 'klik', 'di', 'sini']","[('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('persikabo', 'FW'), ('vs', 'FW'), ('persebaya', 'NN'), ('surabaya', 'NN'), ('segera', 'RB'), ('kick', 'FW'), ('off', 'FW'), ('langsung', 'RB'), ('klik', 'VB'), ('di', 'IN'), ('sini', 'PR')]",link live streaming persikabo vs persebaya surabaya segera kick off langsung klik  ,link live streaming persikabo vs baya surabaya segera kick off langsung klik,link live streaming persikabo v persebaya surabaya segera kick off langsung klik,0
link live streaming persib bandung vs bhayangkara fc maung bandung sementara unggul 2-1,"['link', 'live', 'streaming', 'persib', 'bandung', 'vs', 'bhayangkara', 'fc', 'maung', 'bandung', 'sementara', 'unggul', '2', '-', '1']","[('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('persib', 'FW'), ('bandung', 'FW'), ('vs', 'FW'), ('bhayangkara', 'FW'), ('fc', 'FW'), ('maung', 'VB'), ('bandung', 'NN'), ('sementara', 'SC'), ('unggul', 'VB'), ('2', 'CD'), ('-', 'Z'), ('1', 'CD')]",link live streaming persib  vs bhayangkara fc maung   unggul 2 - 1,link live streaming persib vs bhayangkara fc maung unggul 2 - 1,link live streaming persib v bhayangkara fc maung unggul 2 - 1,0
